id,Season,city,team1,team2,toss_winner,toss_decision,winner,win_by_runs,player_of_match,venue,umpire
14,IPL-2017,Kolkata,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Kolkata Knight Riders,17,RV Uthappa,Eden Gardens,AY Dandekar
15,IPL-2017,Delhi,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,Delhi Daredevils,51,CJ Anderson,Feroz Shah Kotla,YC Barde
16,IPL-2017,Mumbai,Gujarat Lions,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,N Rana,Wankhede Stadium,A Nand Kishore
17,IPL-2017,Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rising Pune Supergiant,27,BA Stokes,M Chinnaswamy Stadium,KN Ananthapadmanabhan
18,IPL-2017,Delhi,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,Kolkata Knight Riders,0,NM Coulter-Nile,Feroz Shah Kotla,Nitin Menon
19,IPL-2017,Hyderabad,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,5,B Kumar,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar
20,IPL-2017,Rajkot,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Royal Challengers Bangalore,21,CH Gayle,Saurashtra Cricket Association Stadium,S Ravi
21,IPL-2017,Hyderabad,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,15,KS Williamson,"Rajiv Gandhi International Stadium, Uppal",CB Gaffaney
22,IPL-2017,Indore,Kings XI Punjab,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,0,JC Buttler,Holkar Cricket Stadium,M Erasmus
23,IPL-2017,Kolkata,Kolkata Knight Riders,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,0,SK Raina,Eden Gardens,CB Gaffaney
24,IPL-2017,Mumbai,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,Mumbai Indians,14,MJ McClenaghan,Wankhede Stadium,A Nand Kishore
25,IPL-2017,Pune,Sunrisers Hyderabad,Rising Pune Supergiant,Rising Pune Supergiant,field,Rising Pune Supergiant,0,MS Dhoni,Maharashtra Cricket Association Stadium,AY Dandekar
26,IPL-2017,Rajkot,Kings XI Punjab,Gujarat Lions,Gujarat Lions,field,Kings XI Punjab,26,HM Amla,Saurashtra Cricket Association Stadium,AK Chaudhary
27,IPL-2017,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kolkata Knight Riders,82,NM Coulter-Nile,Eden Gardens,CB Gaffaney
28,IPL-2017,Mumbai,Rising Pune Supergiant,Mumbai Indians,Mumbai Indians,field,Rising Pune Supergiant,3,BA Stokes,Wankhede Stadium,A Nand Kishore
29,IPL-2017,Pune,Rising Pune Supergiant,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,RV Uthappa,Maharashtra Cricket Association Stadium,AY Dandekar
30,IPL-2017,Bangalore,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,Gujarat Lions,0,AJ Tye,M Chinnaswamy Stadium,AK Chaudhary
31,IPL-2017,Kolkata,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,0,G Gambhir,Eden Gardens,NJ Llong
32,IPL-2017,Chandigarh,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,26,Rashid Khan,"Punjab Cricket Association IS Bindra Stadium, Mohali",Nitin Menon
33,IPL-2017,Pune,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Rising Pune Supergiant,61,LH Ferguson,Maharashtra Cricket Association Stadium,KN Ananthapadmanabhan
34,IPL-2017,Rajkot,Gujarat Lions,Mumbai Indians,Gujarat Lions,bat,Mumbai Indians,0,KH Pandya,Saurashtra Cricket Association Stadium,AK Chaudhary
35,IPL-2017,Chandigarh,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,0,Sandeep Sharma,"Punjab Cricket Association IS Bindra Stadium, Mohali",YC Barde
36,IPL-2017,Hyderabad,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,Sunrisers Hyderabad,48,DA Warner,"Rajiv Gandhi International Stadium, Uppal",AY Dandekar
37,IPL-2017,Mumbai,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,bat,Mumbai Indians,0,RG Sharma,Wankhede Stadium,AK Chaudhary
38,IPL-2017,Pune,Gujarat Lions,Rising Pune Supergiant,Rising Pune Supergiant,field,Rising Pune Supergiant,0,BA Stokes,Maharashtra Cricket Association Stadium,M Erasmus
39,IPL-2017,Delhi,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,field,Delhi Daredevils,0,Mohammed Shami,Feroz Shah Kotla,YC Barde
